LocationName,LocationType,Address
Cardinal Stritch University at John Muir Middle School,Additional Location,"1400 Stewart Ave, Wausau, WI 54401"
Cardinal Stritch University at Westwood Conference Center,Additional Location,"1800 W Bridge St, Wausau, WI 54401"
Cardinal Stritch University at Eisenhower Elementary School,Additional Location,"11600 W Center Street, Wauwatosa, WI 53222"
Cardinal Stritch University at First Congregational Church,Additional Location,"1511 Church Street, Wauwatosa, WI 53213"
Cardinal Stritch University at Wauwatosa East,Additional Location,"7500 Milwaukee Ave, Wauwatosa, WI 53213"
Cardinal Stritch University at Wauwatosa West High School,Additional Location,"11400 W Center Street, Wauwatosa, WI 53222"
Cardinal Stritch University at Whitman Middle School,Additional Location,"11100 W Center St, Wauwatosa, WI 53222"
Cardinal Stritch University at Learning Center,Additional Location,"135 South 70th Street, West Allis, WI 53214"
Cardinal Stritch University at Parkway Community Building,Additional Location,"2930 South Root River Parkway, West Allis, WI 53227"
Cardinal Stritch University at Clairemont Inn & Meeting Center,Additional Location,"2520 W. Washington St., West Bend, WI 53095"
Cardinal Stritch University at Glacier Hillls Credit Union,Additional Location,"2150 S. Main Street, West Bend, WI 53095"
Cardinal Stritch University at Hampton Inn and Suites,Additional Location,"1975 South 18th Aven, West Bend, WI 53095"
Cardinal Stritch University at West Bend East High School,Additional Location,"1305 E Decorah Road, West Bend, WI 53095"
Cardinal Stritch University at West Bend Mutual Insurance Company,Additional Location,"1900 S. 18th Ave., West Bend, WI 53095"
Cardinal Stritch University at West Bend School District,Additional Location,"735 S Main Street, West Bend, WI 53095"
Cardinal Stritch University at Nathan Hale High School,Additional Location,"11601 W Lincoln Ave, West Milwaukee, WI 53222"
Cardinal Stritch University at Wilmot Union High School,Additional Location,"11112 308th Avenue, Wilmot, WI 53192"
Cardinal Stritch University at Valley Creek Commons,Additional Location,"8380 City Center Drive, Woodbury, MN 55125"
Cardinal Stritch University at City Center Professional Building,Additional Location,"1625 Radio Drive, Woodbury, MN 55125"
Cardinal Stritch University at Wisconsin School Leadership Center - WASDA,Additional Location,"4797 Hayes Road Suite 201, Madison, WI 53704"
Cardinal Stritch University at High Crossing Center,Additional Location,"2310 Crossroads Drive, Suite 3000, Madison, WI 53718-7316"
Cardinal Stritch University at Aurora Medical Center in Washington County,Additional Location,"1032 East Sumner Street, Hartford, WI 53027-1608"
Cardinal Stritch University at Xcel Energy Monticello Training Center,Additional Location,"2100 W. River Street, Monticello, MN 55362-4700"
Cardinal Stritch University at Owatonna Hospital,Additional Location,"2250 NW 26th Street, Owatonna, MN 55060-5503"
Cardinal Stritch University at Aurora West Allis Medical Center,Additional Location,"8901 West Lincoln Avenue, West Allis, WI 53227-2409"
Cardinal Stritch University at Moraine Park Technical College (West Bend Campus,Additional Location,"2151 North Main Street, West Bend, WI 53090-1031"
Cardinal Stritch University at Park Center II,Additional Location,"8017 Excelsior Drive, Madison, WI 53717-1908"
Cardinal Stritch University at St. Coletta of Wisconsin,Additional Location,"N4637 County Road Y, Jefferson, WI 53549"
Cardinal Stritch University at Allianz Life Insurance Corporation of North Ameri,Additional Location,"5701 Golden Hills Drive, Minneapolis, MN 55416"
Cardinal Stritch University  at Aurora St. Luke's Medical Center of Aurora,Additional Location,"2801 W. Kinnickinnic River Pkwy, Milwaukee, WI 53215-3669"
Cardinal Stritch University at Prairie Island Nuclear Generating Plant Training,Additional Location,"1660 Wakonade Drive East, Welch, MN 55089-9638"
Cardinal Stritch University at Ozaukee Elementary School,Additional Location,"401 Highland Dr., Fredonia, WI 53021"
Riverland Community College - Albert Lea Campus,Additional Location,"2200 Riverland Drive, Albert Lea, MN 56007"
Riverland Community College - Austin Campus,Additional Location,"1900 8th Avenue NW, Austin, MN 55912"
Riverland Community College - Owatonna Campus,Additional Location,"965 Alexander Drive SW, Owatonna, MN 55060"
Carroll University,Institution,"100 N East Ave, Waukesha, WI 53186"
Carroll University at Gateway Technical College,Additional Location,"496 McCanna Parkway, Burlington, WI 53105"
Carroll University at St. John's Millitary Academy,Additional Location,"1101 N. Genesee St., Delafield, WI 53018-1411"
Carroll University at Waukesha County Technical College,Additional Location,"800 Main Street, Pewaukee, WI 53072"
Carroll University at Racine City Hall Annex,Additional Location,"800 Center Street, Racine, WI 53403"
Carroll University at Graduate Center,Additional Location,"2140 Davidson Road, Waukesha, WI 53186"
Carroll University at Arrowhead H.S. North Campus,Additional Location,"800 North Ave, Hartland, WI 53029"
Carroll University at Kettle Moraine,Additional Location,"563 A.J. Allen Ciricle, Wales, WI 53183"
Carroll University at Pewaukee,Additional Location,"2240 Golf Road, Pewaukee, WI 53072"
Parkway Recreation and Community Building,Additional Location,"2930 S. Root River P, Milwaukee, WI 53227"
"The United Community Center, Walter Sava Building",Additional Location,"615 W. Washington Street, Milwaukee, WI 53204"
Carthage College,Institution,"2001 Alford Park Dr, Kenosha, WI 53140-1994"
Columbia College of Nursing,Institution,"4425 North Port Washington Road, Glendale, WI 53212-1082"
"Columbia College of Nursing, Inc. - Mount Mary College",Additional Location,"2900 North Menomonee River Parkway, Milwaukee, WI 53222-4597"
Concordia University,Institution,"12800 N. Lake Shore Dr., Mequon, WI 53097-2402"
Concordia University Wisconsin at Fort Wayne,Additional Location,"6600 N. Clinton St, Ft Wayne, IN 46825"
Concordia University Wisconsin at Green Bay Center,Additional Location,"1150 Sprinhurst Drive, Suite 101, Green Bay, WI 54304"
Concordia University Wisconsin at Madison Center,Additional Location,"2909 Landmark Place, Suite 101, Madison, WI 53713"
Cocnordia University Wisconsin at Saint Louis Center,Additional Location,"10825 Watson Road, Saint Louis, MO 63127"
Concordia University Wisconsin at Beloit Center,Additional Location,"2040 Sutler Avenue, Beloit, WI 53511"
Concordia University Wisconsin at Marshall Middle School,Additional Location,"25 S. Pontiac Dr., Janesville, WI 53545-2277"
Concordia University Wisconsin at Richland Center High School,Additional Location,"1996 Highway 14 West, Richland Center, WI 53581-9801"
Concordia University Wisconsin at Ann Arbor,Additional Location,"4090 Geddes RD, Ann Arbor, MI 48105"
Concordia University Wisconsin at Appleton Center,Additional Location,"3232 N Ballard Rd Suite 201, Appleton, WI 54911"
Concordia University Wisconsin at Fox Valley Lutheran High School,Additional Location,"5300 North Meade Street, Appleton, WI 54913-8383"
Concordia University Wisconsin at Cudahy Family Library,Additional Location,"3500 Library Drive, Cudahy, WI 53110"
Concordia University Wisconsin at Eau Claire Center,Additional Location,"3031 Epiphany Lane, Cudahy, WI 54703-6924"
Concordia University Wisconsin at Northeast Wisconsin Lutheran HS,Additional Location,"1311 S. Robinson Ave, Green Bay, WI 54311-5545"
Concordia University Wisconsin at Martin Luther High School,Additional Location,"5201 South 76th Street, Greendale, WI 53097-1117"
Concordia University Wisconsin at Kenosha Center,Additional Location,"10222 74th Street Su, Kenosha, WI 53142-6800"
Concordia University Wisconsin at National Guard - Madison,Additional Location,"2400 Wright Street, Madison, WI 53704-2572"
Concordia University Wisconsin at Menomonee Falls High School,Additional Location,"W142 N8101 Merriman, Menomonee Falls, WI 53051"
Concordia University Wisconsin at Milwaukee Lutheran High School,Additional Location,"9700 West Grantosa Dr., Milwaukee, WI 53222-1407"
Concordia University Wisconsin at Milwaukee Midtown Center,Additional Location,"4151 N. 56 St. Ste C, Milwaukee, WI 53216-9909"
Concordia University Wisconsin at Oconomowoc Memorial Hospital,Additional Location,"791 Summit Ave, Oconomowoc, WI 53066-3844"
Concordia University Wisconsin at Onalaska High School,Additional Location,"700 Hilltopper PL, Onalaska, WI 54660-6497"
Concordia University Wisconsin at Racine Area Manufacturer's and Commerce Association - RAMAC,Additional Location,"300 5th Street, Racine, WI 53403"
Concordia University Wisconsin at Racine Lutheran High School,Additional Location,"251 Luedtke Avenue, Racine, WI 53405"
Concordia University Wisconsin at Sheboygan Lutheran High School,Additional Location,"3323 University Drive, Sheboygan, WI 53081-4761"
Concordia University Wisconsin at Catholic Memorial High School,Additional Location,"601 E. College ave, Waukesha, WI 53186-5538"
Concordia University Wisconsin at PHC Building,Additional Location,"N17W24100 Riverwood Dr., Waukesha, WI 53188-1177"
Concordia University Wisconsin at Waukesha,Additional Location,"N14 W23777 Stone Ridge Drive Suite 290, Waukesha, WI 53188"
Concordia University Wisconsin at Waukesha Memorial Hospital,Additional Location,"725 American Ave, Waukesha, WI 53188-5031"
Concordia University Wisconsin at Waupun High School,Additional Location,"801 East Lincoln Street, Waupun, WI 53963-1753"
Concordia University Wisconsin at NorthCentral Technical College,Additional Location,"1000 West Campus Drive, Wausau, WI 54401"
Concordia University Wisconsin at Wausau Center,Additional Location,"501 Stewart Ave., Wausau, WI 54401"
Concordia University Wisconsin at West Bend High School,Additional Location,"1305 E. Decorah Road, West Bend, WI 53095"
Concordia University Wisconsin at Miller Park Way Center,Additional Location,"1670 Miller Park Way, West Milwaukee, WI 53214"
Concordia University Wisconsin at Chippewa Valley Technical,Additional Location,"620 West Clairemont Avenue, Eau Claire, WI 54701-6162"
Concordia University Wisconsin at Saint Louis Center,Additional Location,"10825 Watson Road, Saint Louis, MO 63127"
Concordia University Wisconsin at Aurora Sheboygan,Additional Location,"2629 North 7th Street, Sheboygan, WI 83083"
Concordia University Wisconsin at Dearborn Center,Additional Location,"22720 Michigan Avenue Suite 150, Dearborn, MI 48124-2042"
Concordia University Wisconsin at Frankenmuth Center,Additional Location,"525 E. Genesee Street, Frankenmuth, MI 48734-1139"
Concordia University Wisconsin at Jackson College,Additional Location,"2111 Emmons Rd., Jackson, MI 49201-8399"
Concordia University Wisconsin at Cedar Ridge,Additional Location,"113 Cedar Ridge Drive, West Bend, WI 53095-9285"
Concordia University Wisconsin at Our Savior Lutheran Church,Additional Location,"261 West 25th Street, Indianapolis, IN 46208-5688"
Concordia University Wisconsin at Marian College,Additional Location,"45 South National Avenue, Fond Du Lac, WI 54935-4699"
Concordia University Wisconsin at Franklin High School,Additional Location,"8222 South, Franklin, WI 53132-9276"
Concordia University Wisconsin at Whitehorse Middle School,Additional Location,"218 Schenk Street, Madison, WI 53714"
Concordia University Wisconsin at Appleton Center,Additional Location,"4351 W College Avenue, Suite 100, Appleton, WI 54914-3970"
Concordia University Wisconsin at Lake Geneva,Additional Location,"208 South Street, Lake Geneva, WI 53147-2436"
Concordia University Wisconsin at Case High School,Additional Location,"7345 Washington Avenue, Racine, WI 53406"
Indianapolis Center,Additional Location,"11350 N Meridian Street Suite 200, Carmel, IN 46032"
New Orleans Center,Additional Location,"3864 Seventeenth Street, Metairie, LA 70002-4440"
Hales Corners Center,Additional Location,"5301 South 108 Street, Hales Corners, WI 53097-2402"
Milwaukee South Center,Additional Location,"1127 South 35th Street, Milwaukee, WI 53125"
Indianapolis Church Site - Our Savior Ev Lutheran,Additional Location,"261 W 25th Street, Indianapolis, IN 46208-5688"
Eau Claire Center,Additional Location,"501 East Fillmore Avenue, Eau Claire, WI 54701-6536"
St. Louis Center,Additional Location,"10733 Sunset Office Drive, Suite 425, St. Louis, MO 63127-1018"
Diesel Truck Driver Training School,Institution,"7190 Elder Lane, Sun Prairie, WI 53590"
Edgewood College,Institution,"1000 Edgewood College Drive, Madison, WI 53711-1997"
Edgewood College - Deming Way Campus,Additional Location,"1255 Deming Way, Madison, WI 53717"
Edgewood College- Edgewood College,Additional Location,"3201 Eaton Road, Green Bay, WI 54311"
Fox Valley Technical College,Institution,"1825 N Bluemound Dr, Appleton, WI 54912-2277"
Fox Valley Technical College - Oshkosh Campus,Additional Location,"150 N. Campbell Road, Oshkosh, WI 54903"
Fox Valley Technical College at Chilton Regional Center Supervisory,Additional Location,"1200 E. Chestnut St., Chilton, WI 53014"
Fox Valley Technical College at Clintonville Regional Center,Additional Location,"525 Main Street, Clintonville, WI 54929"
Fox Valley Technical College at Neenah Fire Training,Additional Location,"1470 Tullar Road, Neenah, WI 54956"
Fox Valley Technical College at Neenah Regional Center,Additional Location,"2320 Industrial Drive, Neenah, WI 54956"
Fox Valley Technical College at S.J. Spanbauer Aviation and Industrial Center,Additional Location,"3601 Oregon Street, Oshkosh, WI 54903"
Fox Valley Technical College at Advanced Manufacturing Technology Center,Additional Location,"4200 Poberezny Road, Oshkosh, WI 54901"
Fox Valley Technical College at Waupaca Regional Center,Additional Location,"1979 Godfrey Drive, Waupaca, WI 54981"
Fox Valley Technical College at Wildland Fire Training Center,Additional Location,"4902 N. Lynndale Drive, Appleton, WI 54913"
Fox Valley Technical College at Public Safety Training Center,Additional Location,"W6400 County Road BB, Appleton, WI 54914"
Wautoma Regional Center,Additional Location,"556 S. Cambridge Street, P.O. Box 650, Wautoma, WI 54982"
Gateway Technical College,Institution,"3520 30th Ave, Kenosha, WI 53144-1690"
Gateway Technical College - Racine Campus,Additional Location,"1001 S. Main Street, Racine, WI 53403-1582"
Gateway Technical College - Elkhorn Campus,Additional Location,"400 County Road H, Elkhorn, WI 53121-2046"
Gateway Technical College - Burlington Center,Additional Location,"496 McCanna Parkway, Burlington, WI 53105"
Gateway Technical College at Horizon Center for Transportation Technology,Additional Location,"4940 88th Avenue, Kenosha, WI 53144"
Gateway Technical College at LakeView Advanced Technology Center,Additional Location,"9449 - 88th Avenue, Pleasant Prairie, WI 53158"
Gateway Technical College at Center for Advanced Technology and Innovation,Additional Location,"2320 Renaissance Blvd, Sturtevant, WI 53177"
Gateway Technical College at SC Johnson Company,Additional Location,"2512 Willow Road, Sturtevant, WI 53177"
Gateway Technical College at Wilmot Union High School,Additional Location,"11112 308th Avenue, Wilmot, WI 53192"
Badger High School,Additional Location,"220 E South St., Lake Geneva, WI 53147"
Gill Tech Academy of Hair Design,Institution,"230 South McCarthy Road, Appleton, WI 54914"
The Professional Hair Design Academy,Institution,"3408 Mall Drive, Eau Claire, WI 54701-7633"
Institute of Paper Science and Technology,Institution,"500 10th Street NW, Atlanta, GA 30332"
Scientific College of Beauty and Barbering,Institution,"326 Pearl St, La Crosse, WI 54601"
Lakeland University,Institution,"W3718 South Drive, Plymouth, WI 53073"
Chippewa Valley Center,Additional Location,"770 Scheidler Road, Chippewa Falls, WI 54729"
Green Bay Center,Additional Location,"2985 South Ridge Road, Green Bay, WI 54304"
Kohler,Additional Location,"444 Highland Drive/Training Center, Kohler, WI 53044"
Madison Center,Additional Location,"3591 Anderson Street, Ste. 101, Madison, WI 53704"
Marshall High School Complex,Additional Location,"4141 North 64th Street, Milwaukee, WI 53216-1149"
Neenah,Additional Location,"2320 Industrial Drive, Neenah, WI 54956"
Milwaukee,Additional Location,"1135 South 70th Street, West Allis, WI 53214"
Wisconsin Rapids,Additional Location,"MSTC - 500 32nd Street North, Wisconsin Rapids, WI 54494"
MTEC Milwaukee Public Schools,Additional Location,"6620 W. Capitol Drive, Milwaukee, WI 53216"
Madison Center,Additional Location,"1650 Pankratz Street, Madison, WI 53704"
Fort McCoy,Additional Location,"ARRTC Building 50, Fort McCoy, WI 54656-5263"
Milwaukee Center,Additional Location,"9000 W. Chester Street, Milwaukee, WI 53214"
Lakeland University Green Bay Center,Additional Location,"2601 Development Drive, Green Bay, WI 54311"
Lakeshore Technical College,Institution,"1290 North Ave, Cleveland, WI 53015"
Lakeshore Technical College - Manitowoc Campus,Additional Location,"3733 Dewey Street, Manitowoc, WI 54220"
Lakeshore Technical College - Sheboygan Campus,Additional Location,"3620 Wilgus Avenue, Sheboygan, WI 53081"
Lakeshore Technical College at LTC Manitowoc,Additional Location,"3733 Dewey St., Manitowoc, WI 54220"
Lakeshore Technical College at Lakeshore Culinary Institute,Additional Location,"712 Riverfront Drive, Sheboygan, WI 53081"
Lakeshore Technical College at LTC Sheboygan,Additional Location,"3620 Wilgus Ave., Sheboygan, WI 53081"
Lakeshore Technical College at Cedar Grove-Belgium High School,Additional Location,"321 N. 2nd Street, Cedar Grove, WI 53013"
Lakeshore Technical College at Johnsonville Sausage,Additional Location,"N6928 Johnsonville Way, Sheboygan Falls, WI 53085"
Lakeshore Technical College at Kiel High School,Additional Location,"210 Raider Heights, Kiel, WI 53042"
Lakeshore Technical College at LTC-Plymouth Science and Technology Center,Additional Location,"125 Highland Avenue, Plymouth, WI 53073"
Lakeshore Technical College at Mishicot High School,Additional Location,"660 Washington Street, Mishicot, WI 54228"
Lakeshore Technical College at Reedsville High School,Additional Location,"340 Manitowoc Road, Reedsville, WI 54230"
Lakeshore Technical College at Two Rivers High School,Additional Location,"4519 Lincoln Avenue, Two Rivers, WI 54241"
LTC School of Agriculture,Additional Location,"7003 Gass Lake Road, Manitowoc, WI 54220"
Aurora Sheboygan Memorial Medical Center,Additional Location,"2629 N 7th Street, Sheboygan, WI 53083"
Felican Village,Additional Location,"1635 S 21st Street, Manitowoc, WI 54220"
Kiel High School,Additional Location,"416 Paine Street, Kiel, WI 53042"
Manitowoc Health and Rehabilitation Center,Additional Location,"2021 S Alverno Road, Manitowoc, WI 54220"
Mishicot High School,Additional Location,"324 E Samz Road, Mishicot, WI 54228"
Oosburg High School,Additional Location,"410 New York Avenue, Oostburg, WI 53070"
Pine Haven Christian Communities,Additional Location,"220 Haven Drive, Sheboygan Falls, WI 53085"
Plymouth Fire Department,Additional Location,"125 S Highland Avenue, Plymouth, WI 53073"
Plymouth High School,Additional Location,"125 Highland Avenue, Plymouth, WI 53073"
Random Lake High School,Additional Location,"605 Random Lake Road, Random Lake, WI 53075"
Reedsville High School,Additional Location,"340 Manitowoc Street, Reedsville, WI 54230"
Rocky Knoll Health Care Center,Additional Location,"N7135 Rocky Knoll Parkway, Plymouth, WI 53073"
Sheboygan North High School,Additional Location,"2926 N 10th Street, Sheboygan, WI 53083"
Sheboygan South High School,Additional Location,"1240 Washington Avenue, Sheboygan, WI 53083"
Sunny Ridge Nursing Home,Additional Location,"3014 Erie Avenue, Sheboygan, WI 53083"
Two Rivers Fire Department,Additional Location,"2122 Monroe Street, Two Rivers, WI 54241"
LTC Manitowoc,Additional Location,"600 York Street, Manitowoc, WI 54220"
LTC Sheboygan,Additional Location,"1320 Niagra Street, Sheboygan, WI 53083"
Lawrence University,Institution,"PO Box 599, Appleton, WI 54912"
Maranatha Baptist University,Institution,"745 W. Main St., Watertown, WI 53094"
Marian University,Institution,"45 S. National Ave., Fond du Lac, WI 54935"
Marian University at Appleton Center,Additional Location,"720 West Association Drive, Appleton, WI 54914-1482"
Marian University at Days Inn,Additional Location,"2332 Railroad Street Hwy 45N, Eagle River, WI 54521-8162"
Marian University at Bayport High School,Additional Location,"2710 Lineville Rd, Green Bay, WI 54313-7196"
Marian University at Northeast Wisconsin Technical College - Green Bay,Additional Location,"2740 West Mason Street, Green Bay, WI 54307-9042"
Marian University at Tundra Lodge,Additional Location,"865 Lombardi Avenue, Green Bay, WI 54304-3732"
Marian University at Country Inn and Suites,Additional Location,"2020 Old Peshtigo Court, Marinette, WI 54143-3877"
Marian University at Northcentral Technical College - Medford,Additional Location,"624 College Street, Medford, WI 54451-2029"
Marian University at Stoney Creek Inn,Additional Location,"3060 South Kinney Coulee Road, Onalaska, WI 54650-8677"
Marian University at Sargento Foods,Additional Location,"1 Persnickety Place, Plymouth, WI 53073-3544"
Marian University at Watertown Center,Additional Location,"807 N Church Street, Watertown, WI 53098-1702"
Marian University at Northcentral Technical College - Wausau,Additional Location,"1000 West Campus Drive, Wausau, WI 54401-1880"
Marian University at Westwood Conference Center,Additional Location,"1800 Westwood Center Blvd., Wausau, WI 54401-2881"
Marian University at Immaculate Heart of Mary,Additional Location,"1227 S. 116th St, West Allis, WI 53214-2122"
Marian University at Moraine Park Technical College,Additional Location,"2151 North Main Street, West Bend, WI 53090-1031"
Marian University at Winneconne High School,Additional Location,"233 South 3rd Avenue, Winneconne, WI 54986-5000"
Marian University at Affinity Health Systems Mercy Medical Center,Additional Location,"500 South Oakwood Road, Oshkosh, WI 54904-7944"
Marian University at Marathon County Sheriff's Department/Courthouse,Additional Location,"500 Forest Street, Wausau, WI 54403"
Marian University at Saint Mary's Hospital Medical Center,Additional Location,"707 W. Mills Street, Madison, WI 53715-1893"
Marian University at Watertown High School,Additional Location,"825 Endeavour Drive, Watertown, WI 53098-1727"
Marian University at Mayville Products Corp,Additional Location,"403 Degner Ave, Mayville, WI 53050-0028"
Marian University at Gateway Technical College,Additional Location,"3520 30th Avenue, Kenosha, WI 53144-1690"
Marian University at Sheboygan South High School,Additional Location,"3128 South 12th Street, Sheboygan, WI 53081-6759"
Marian University at Lakeshore Technical College,Additional Location,"3620 Wilgus Ave, Sheboygan, WI 53081-3068"
Marian University at Freedom High School,Additional Location,"N4021 County Road E, Freedom, WI 54130-7593"
Marian University at Rhinelander High School,Additional Location,"665 Coolidge Ave, Rhinelander, WI 54501-2814"
Marian University at Sheboygan Falls High School,Additional Location,"220 Amherst Avenue, Sheboygan Falls, WI 53085-1735"
Marian University at St. Joseph's Middle School,Additional Location,"2626 North Oneida Street, Appleton, WI 54911-2058"
Marian University at Waupun High School,Additional Location,"801 East Lincoln, Waupun, WI 53963-1753"
Marian University at Wrightstown High School,Additional Location,"600 High Street, Wrightstown, WI 54180-1134"
Marian University at Milwaukee Teacher Education Center,Additional Location,"234 West Galena Street, Milwaukee, WI 53212-3955"
Marian University at Waupun Memorial Hospital,Additional Location,"620 West Brown Street, Waupun, WI 53963-1702"
Marian University at John Edwards High School,Additional Location,"801 2nd Street, Port Edwards, WI 53963-1702"
Marian University at Weyauwega-Fremont Middle School,Additional Location,"410 East Ann St, PO Box 580, Weyauwega, WI 54983-8532"
Marian University at Dickenson Elementary School,Additional Location,"435 South Washington Street, De Pere, WI 54115-3498"
Marian University at CG Stangel Elementary School,Additional Location,"1002 East Cedar Ave, Manitowoc, WI 54220-1326"
Marian University at Fransworth Middle School,Additional Location,"1017 Union Ave, Sheboygan, WI 53081-5936"
Marian University at Belleville Intermediate School,Additional Location,"101 South Grant Street, Belleville, WI 53508-9346"
Marian University at Manitowoc County Sheriff's Office,Additional Location,"1025 South Ninth Street, Manitowoc, WI 54220-5340"
Marian University at Fall Creek School District,Additional Location,"336 East Hoover Ave, Fall Creek, WI 54742-9625"
Marian University at Kenosha Unified School District No. 1,Additional Location,"3600 52nd Street, Kenosha, WI 53073-2566"
Marian University at Lineville Intermediate School,Additional Location,"2700 Lineville Road, Green Bay, WI 54313-7151"
Marian University at Maple Avenue Elementary School,Additional Location,"Maple Avenue, Sussex, WI 53089-3698"
Marian University at Plymouth High School,Additional Location,"125 South Highland Ave, Plymouth, WI 53073-2566"
Marian University at Shioctin High School Library Media Center,Additional Location,"N5650 Broad Street, Shioctin, WI 54170-8626"
Marian University at Cooperative Educational Service Agency,Additional Location,"923 East Garland Street, West Salem, WI 54669-1331"
Marian University at Baymont Inn & Suites,Additional Location,"678 Walton Drive, Plymouth, WI 53073-5002"
Marian University at Antigo High School,Additional Location,"120 South Dorr Street, Antigo, WI 54409-1220"
Marian University at Townline Conference Center,Additional Location,"2544 Lineville Road, Howard Suamico, WI 54313-7123"
Marian University at Northeast Wisconsin Technical College,Additional Location,"1601 University Drive, Marinette, WI 54143"
Marian University at Prairie River Middle School,Additional Location,"106 North Polk Street, Merrill, WI 54452"
Marian University at Sitepro,Additional Location,"1825 North Clairmont, Eau Claire, WI 54703-4967"
Marian University at Fond du Lac Fire Station,Additional Location,"815 South Main Street, Fond du Lac, WI 54935-5738"
Marian University at Webster Middle School,Additional Location,"7564 Alder Street West, Webster, WI 54893-0009"
Marian University at Wabeno Elementary School,Additional Location,"4346 Mill Lane, Wabeno, WI 54566-9264"
Marian University at Bishop O'Connor Catholic Pastoral Center,Additional Location,"702 South High Point Road, Madison, WI 53719"
Marian University at Generations: An Intergenerataional Center,Additional Location,"1500 Douglas Drive, Plymouth, WI 53073"
Marian University at FVTC Oshkosh SJ Spanbauer Center,Additional Location,"3601 Oregon Street, P.O. Box 2037, Oshkosh, WI 54903-2037"
Marian University at Holiday Inn,Additional Location,"2785 Ramada Way, Green Bay, WI 54304-5759"
"Marian University at Johnsonville Foods, Inc.",Additional Location,"N6928 Johnsonville Way, Sheboygan, WI 53085-2025"
Marian University at Holy Redeemer Institutional Church of God in Christ,Additional Location,"3500 W. Mother Daniels Way, Milwaukee, WI 53209-5311"
Marian University at Agnesian Health Care Fond Du Lac Surgery,Additional Location,"421 Camelot Drive, Fond Du Lac, WI 54935"
Marian University at All Saints Catholic School St. John Site,Additional Location,"419 6th Avenue, Antigo, WI 54409"
Encircle Health,Additional Location,"2500 E. Capital Drive, Appleton, WI 54911"
Greater New Birth Church,Additional Location,"8237 W. Silver Spring Rd., Milwaukee, WI 53218"
Miwaukee Area Technical College,Additional Location,"1200 S. 71st Street, West Allis, WI 53214"
ThedaCare Medical Center - Shawano,Additional Location,"100 Road B, Shawano, WI 54166"
ThedaCare Regional Medical Center - Neenah,Additional Location,"130 2nd Street, Neenah, WI 54956"
ThedaCare Regional Medical Center-Appleton,Additional Location,"1818 N. Meade Street, Appleton, WI 54911"
Marquette University,Institution,"Clark Hall, Room 341 530 N. 16th Street PO Box 1881, Milwaukee, WI 53201-1881"
Marquette University at Kohler MBA,Additional Location,"705 Woodlake Road, Kohler, WI 53044"
Marquette University at Harley-Davidson Motor Company,Additional Location,"3700 W. Juneau St, Milwaukee, WI 53208"
Marquette University at Waukesha MBA,Additional Location,"MRA, N19W24400 Riverwood Dr., Waukesha, WI 53188"
Medical College of Wisconsin,Institution,"8701 Watertown Plank Rd, Milwaukee, WI 53226-0509"
Medical College of Wisconsin - Green Bay,Additional Location,"100 Grant Street, De Pere, WI 54115-2099"
Medical College of Wisconsin - Central Wisconsin,Additional Location,"333 Pine Ridge Blvd., Wausau, WI 54401"
Mercy Medical Center/Affinity Health System,Institution,"500 S. Oakwood Road, Oshkosh, WI 54903-3370"
Mid-State Technical College,Institution,"500 32nd St N, Wisconsin Rapids, WI 54494"
Adams County Center,Additional Location,"401 North Main Street, Adams, WI 53910"
Mid-State Technical College - Marshfield Campus,Additional Location,"2600 W. 5th Street, Marshfield, WI 54449"
Mid-State Technical College - Stevens Point Campus,Additional Location,"933 Michigan Ave, Stevens Point, WI 54481"
Mid-State Technical College Stevens Point Campus,Additional Location,"1001 Centerpoint Drive, Stevens Point, WI 54481"
Adams-Friendship High School,Additional Location,"1109 East North Street, Adams, WI 53910"
Amherst High School,Additional Location,"357 N. Main Street, Amherst, WI 54406"
Lincoln High School,Additional Location,"1801 16th S, Wisconsin Rapids, WI 54494"
Marshfield High School,Additional Location,"1401 E. Becker Road, Marshfield, WI 54449"
Nekoosa High School,Additional Location,"500 Cedar Street, Nekoosa, WI 54457"
Stevens Point Area Senior High (SPASH),Additional Location,"1201 North Point Drive, Stevens Point, WI 54481"
Milwaukee Area Technical College,Institution,"700 W State St, Milwaukee, WI 53233-1443"
Milwaukee Area Technical College - Oak Creek,Additional Location,"6665 South Howell Avenue, Oak Creek, WI 53154"
Milwaukee Area Technical College - West Allis,Additional Location,"1200 South 71st Street, West Allis, WI 53214"
Milwaukee Area Technical College - Mequon,Additional Location,"5555 West Highland Road, Mequon, WI 53092"
Milwaukee Area Technical College at Health and Technology Center (HTC),Additional Location,"1311 North 6th Street, Milwaukee, WI 53212"
Milwaukee Institute of Art and Design,Institution,"273 E Erie St, Milwaukee, WI 53202"
Milwaukee School of Engineering,Institution,"1025 N Broadway, Milwaukee, WI 53202-3109"
Milwaukee School of Engineering at Fox Valley,Additional Location,"55 Jeweler's Park Drive, Neenah, WI 54956"
The Management Conference Center,Additional Location,"N19, W24400 Riverwood Drive, Waukesha, WI 53188"
Moraine Park Technical College,Institution,"235 N National Ave, Fond Du Lac, WI 54936-1940"
Moraine Park Technical College - West Bend Campus,Additional Location,"2151 North Main Street, West Bend, WI 53090"
Moraine Park Technical College - Beaver Dam Campus,Additional Location,"700 Gould Street, Beaver Dam, WI 53916"
Moraine Park Technical College at MPTC Jackson Regional Center,Additional Location,"N173 W21150-60 Northwest Passage Way, Jackson, WI 59037"
